WKT,Edge ID,From Node,To Node ID,Two Way,Speed (m/s,Vertex Cou
"LINESTRING (1685500.779782474739477 244069.627949960849946,1685634.963777874130756 243869.74110523078707,1685713.117808797396719 243798.970113578863675,1685798.31927610328421 243754.502568835247075,1685889.14879383193329 243730.490985072421608,1686101.002303717890754 243709.3674523702648,1686337.649228938156739 243708.384768731018994,1686433.850496052531525 243729.298659932537703,1686495.847232687752694 243760.564006694388809,1686618.488407414406538 243861.279799983138219,1686661.143223871476948 243922.221022382756928,1686694.788082065992057 243997.989036552520702,1686706.09227651800029 244081.954558651836123,1686704.904489572392777 244170.040666348621016,1686678.594547752058133 244377.921115993318381,1686670.493347672512755 244487.64889791214955)",884147801462,884147801388,884147801387,1,5.833333333000000,16
"LINESTRING (1688204.735499359667301 247377.340902593801729,1688209.66409286018461 247556.328147420048481,1688196.624849654501304 247647.544667965121334)",884147800435,884147800498,884147800499,1,16.666666670000001,3
"LINESTRING (1685056.45462039555423 243467.390471953141969,1685463.876124784816056 243479.215973401733208,1685481.238058887654915 243489.691515888349386,1685499.022114236140624 243525.601517043920467,1685507.866837635403499 243620.3709117063554,1685523.737741580232978 243700.345957951503806,1685524.40337854786776 243740.454119318455923,1685525.913238025037572 243831.431168804061599,1685519.37409799802117 243875.572956950054504,1685503.701106601860374 243966.835153659223579,1685494.404902657493949 244004.173086028487887,1685495.070612188894302 244044.281247379112756,1685500.779782474739477 244069.627949960849946)",884147801463,884147801389,884147801388,1,5.833333333000000,13
"LINESTRING (1688197.890278394334018 247122.060989980876911,1688204.735499359667301 247377.340902593801729)",884147800436,884147800496,884147800498,1,16.666666670000001,2
"LINESTRING (1685500.779782474739477 244069.627949960849946,1685218.347382486797869 244577.27518170903204,1685155.755762206623331 244669.317122627049685,1685082.894281205022708 244740.002553559548687,1685007.146004389040172 244796.058491149567999,1684894.986383992945775 244848.806082853319822,1684825.906353558180854 244868.546717455610633)",884147801464,884147801388,884147801390,1,5.833333333000000,7
"LINESTRING (1688184.859746316215023 246651.609463387838332,1688186.115589853841811 246727.913004655769328)",884147800437,884147800500,884147800495,1,16.666666670000001,2
"LINESTRING (1684825.906353558180854 244868.546717455610633,1684829.574874597135931 244930.132333952788031)",884147801465,884147801390,884147801391,1,5.833333333000000,2
"LINESTRING (1688173.576028740266338 245805.379302395478589,1688171.172206052578986 245940.453983741288539)",884147800438,884147800497,884147800501,1,16.666666670000001,2
"LINESTRING (1684829.574874597135931 244930.132333952788031,1684910.745147612178698 244921.932891710108379,1684920.722920878091827 244925.681062296440359,1684936.215192908653989 244943.03680340887513,1684938.441725468495861 244957.677553073706804,1684941.597379029262811 245147.457553650980117,1684939.923922436544672 245166.07721609249711,1684934.816147495061159 245176.92583522174391,1684915.104878014884889 245184.103195167321246)",884147801466,884147801391,884147801392,1,5.833333333000000,9
"LINESTRING (1688171.172206052578986 245940.453983741288539,1688184.859746316215023 246651.609463387838332)",884147800439,884147800501,884147800500,1,16.666666670000001,2
"LINESTRING (1684829.574874597135931 244930.132333952788031,1684745.777556525310501 244939.354346092964988,1684736.63964380742982 244946.355992899480043,1684724.457944668829441 244969.064572363422485,1684730.128875082824379 245150.974579569709022,1684742.447167422855273 245176.21111290040426,1684762.402515647932887 245183.707282627583481)",884147801467,884147801391,884147801393,1,5.833333333000000,7
"LINESTRING (1688173.576028740266338 245805.379302395478589,1688156.040577405598015 245784.1405341286154,1688128.641129887895659 245765.999669535347493,1688096.809154020156711 245759.673987623478752,1688071.698076172964647 245760.087331316404743,1688034.869461462832987 245771.457283368945355)",884147800440,884147800497,884147800451,0,16.666666670000001,6
"LINESTRING (1683625.910996572813019 244855.273063317552442,1683712.24597085127607 244879.273385946726194,1683769.519752589752898 244904.737552804115694,1683824.378522737184539 244943.941446147160605,1683949.058190268231556 245047.541638084570877,1684006.314829004462808 245072.028274997894187,1684095.226443319115788 245092.073278944095364,1684151.94462797162123 245084.278216274658917,1684208.467209549853578 245064.744362110330258,1684262.167221680982038 245034.494004107982619,1684356.718366240151227 244956.594436697138008,1684452.403582944534719 244907.053498370863963,1684555.072363479528576 244879.9027186386229,1684825.906353558180854 244868.546717455610633)",884147801468,884147801394,884147801390,1,5.833333333000000,14
"LINESTRING (1685623.372072838945314 247314.314592356909998,1685710.129093140363693 247484.115915320318891,1685730.795667292084545 247534.656036938278703,1685732.613165845163167 247644.219856473384425)",884147800698,884147800464,884147800703,1,5.833333333000000,4
"LINESTRING (1686530.609674446750432 246740.550597414374352,1686560.717180538689718 246762.558428022253793,1686592.726050300057977 246779.642272778699407,1686629.924031821778044 246790.769251252582762,1686667.041074385168031 246797.005056949477876,1686751.025058276252821 246799.530533070879756)",884147800441,884147800502,884147800452,0,16.666666670000001,6
"LINESTRING (1684762.402515647932887 245183.707282627583481,1684915.104878014884889 245184.103195167321246)",884147801469,884147801393,884147801392,1,5.833333333000000,2
"LINESTRING (1684860.659163703676313 247235.982433732831851,1685014.428529479773715 247579.820994689769577)",884147800699,884147800704,884147800465,1,11.111111110000000,2
"LINESTRING (1686530.609674446750432 246740.550597414374352,1686601.451060292311013 246867.564470074139535)",884147800442,884147800502,884147800453,0,16.666666670000001,2
"LINESTRING (1683683.1583610503003 243413.937780582375126,1683720.168730322737247 243413.320083796686959,1683742.09269855171442 243419.80384100554511,1683762.229860245250165 243438.059662498504622,1683795.397436306811869 243484.475128210644471,1683813.625426813494414 243546.796193629474146,1683836.422862873179838 243724.506236424087547,1683839.205298330402002 243772.407228457479505,1683835.362548739882186 243819.440229924890446,1683819.64859561691992 243907.769070318230661,1683758.155218546278775 244065.358116621704539,1683744.424485947936773 244153.653935878566699,1683751.164557444863021 244240.629623469430953,1683795.012252238346264 244491.377254922146676,1683790.770155918318778 244554.073236587777501,1683778.883171516470611 244594.390855750272749,1683767.281593441963196 244612.19778928879532,1683670.577575156698003 244719.491805064695654,1683651.192927811061963 244746.235403377882903,1683639.175707892281935 244778.727140628470806,1683625.910996572813019 244855.273063317552442)",884147801470,884147801395,884147801394,1,5.833333333000000,21
"LINESTRING (1688196.624849654501304 247647.544667965121334,1688321.440000785281882 247761.934438122203574,1688376.039737288374454 247786.477768114942592,1688403.194739297963679 247789.945234693062957,1688869.021619418635964 247782.290233161125798,1689805.413305872585624 247773.786610439594369)",884147800700,884147800499,884147800705,1,11.111111110000000,6
"LINESTRING (1684554.800577339483425 246014.988381049217423,1684832.643184755695984 245988.837780751026003,1685036.768403433728963 245981.529736407945165,1685184.903661063406616 245985.917705472267698,1685298.145900717005134 245998.714434551162412,1685422.139587124111131 246022.097040770255262,1685545.780630596214905 246064.07813756421092,1685702.157616679556668 246127.044410607457394,1685863.949732498731464 246197.750322479201714)",884147800443,884147800503,884147800504,0,16.666666670000001,9
"LINESTRING (1683625.910996572813019 244855.273063317552442,1683367.724496247945353 244911.446761483908631,1683205.270549336681142 244921.011482790956507)",884147801471,884147801394,884147801396,0,5.833333333000000,3
"LINESTRING (1689805.413305872585624 247773.786610439594369,1690083.828209893079475 247783.908309374179225)",884147800701,884147800705,884147800706,1,11.111111110000000,2
"LINESTRING (1685863.949732498731464 246197.750322479201714,1686015.394795245258138 246282.328286180854775,1686067.48828545678407 246314.734742394561181)",884147800444,884147800504,884147800505,0,16.666666670000001,3
"LINESTRING (1683206.68728874088265 244847.598855976684717,1683205.270549336681142 244921.011482790956507)",884147801472,884147801397,884147801396,1,5.833333333000000,2
"LINESTRING (1686421.101645041955635 247432.216980656055966,1686508.017289937706664 247452.306124279217329,1686579.573466193396598 247462.864555429172469)",884147800702,884147800707,884147800708,1,11.111111110000000,3
"LINESTRING (1686067.48828545678407 246314.734742394561181,1686129.60700137889944 246353.824896245030686,1686214.484151415294036 246410.15166846147622,1686327.020184281514958 246500.269024026376428,1686402.227127470308915 246571.434454114409164,1686467.651216089027002 246650.59017951216083,1686530.609674446750432 246740.550597414374352)",884147800445,884147800505,884147800502,0,16.666666670000001,7
"LINESTRING (1683206.68728874088265 244847.598855976684717,1683285.328389762202278 244846.284366600535577,1683514.528851670213044 244835.605499268363928,1683625.910996572813019 244855.273063317552442)",884147801473,884147801397,884147801394,0,5.833333333000000,4
"LINESTRING (1686151.413878981955349 247071.695246841118205,1686258.848780193598941 247293.017932105663931)",884147800703,884147800482,884147800709,1,11.111111110000000,2
"LINESTRING (1683205.270549336681142 244921.011482790956507,1683069.616933459183201 244912.516011080355383,1683000.643326297402382 244898.99188762778067,1682926.26824251236394 244878.708753692742903)",884147801474,884147801396,884147801398,0,5.833333333000000,4
"LINESTRING (1686258.848780193598941 247293.017932105663931,1686281.253377414541319 247328.852098477858817,1686314.165293846046552 247360.598267377616139,1686366.433509589871392 247403.766290071391268,1686421.101645041955635 247432.216980656055966)",884147800704,884147800709,884147800707,1,11.111111110000000,5
"LINESTRING (1689805.413305872585624 247773.786610439594369,1689836.751937219873071 248638.280276038887678)",884147802760,884147800705,884147802479,1,11.111111110000000,2
"LINESTRING (1686579.573466193396598 247462.864555429172469,1686601.427048332290724 247465.438630477845436)",884147800705,884147800708,884147800710,1,11.111111110000000,2
"LINESTRING (1689763.112214403459802 246118.833050615445245,1689764.910285813966766 246834.097496713075088,1689767.537460763705894 246994.530820881162072,1689776.219706355361268 247201.833696052926825,1689799.79092905158177 247591.87499271161505,1689805.413305872585624 247773.786610439594369)",884147802761,884147802480,884147800705,1,11.111111110000000,6
"LINESTRING (1682916.068880623206496 246757.63701591923018,1683568.922789577860385 246746.723387341044145)",884147803532,884147802918,884147800575,1,5.833333333000000,2
"LINESTRING (1686601.427048332290724 247465.438630477845436,1686755.030353356152773 247481.490439182525733)",884147800706,884147800710,884147800711,1,11.111111110000000,2
"LINESTRING (1682942.222636079415679 244805.052854090434266,1683122.579441061941907 244838.241371028270805,1683206.68728874088265 244847.598855976684717)",884147801477,884147801400,884147801397,0,5.833333333000000,3
"LINESTRING (1689762.744326920714229 245611.968752806773409,1689763.112214403459802 246118.833050615445245)",884147802762,884147802481,884147802480,1,11.111111110000000,2
"LINESTRING (1684200.348678196547553 246520.915255644649733,1684336.830274374457076 246540.168540495011257,1684428.026652765693143 246578.768784982094076,1684518.210577314486727 246635.978168689529411,1684600.757665862562135 246710.928417735383846,1684666.547099530231208 246811.599361178639811,1684747.621739258756861 246957.028048319742084,1684847.437413255916908 247196.083094066911144)",884147803276,884147801379,884147801377,1,11.111111110000000,8
"LINESTRING (1683568.922789577860385 246746.723387341044145,1683775.748043392319232 246743.270621263422072)",884147803533,884147800575,884147803110,1,5.833333333000000,2
"LINESTRING (1687031.95626783836633 247561.066707845486235,1687192.876636022469029 247620.055907720787218,1687284.415821252390742 247640.072254358645296,1687346.655707383761182 247646.873259188025258)",884147800707,884147800712,884147800713,1,11.111111110000000,4
"LINESTRING (1683205.270549336681142 244921.011482790956507,1683202.90170542197302 245056.086740568338428)",884147801478,884147801396,884147801401,1,5.833333333000000,2
"LINESTRING (1689758.768313579726964 245086.571790637681261,1689762.744326920714229 245611.968752806773409)",884147802763,884147802482,884147802481,1,11.111111110000000,2
"LINESTRING (1684225.085195540450513 247092.936422970466083,1684229.829896483803168 247377.606294421828352,1684242.57142317132093 247428.276931240805425)",884147803277,884147802913,884147801378,1,5.833333333000000,3
"LINESTRING (1683775.748043392319232 246743.270621263422072,1684211.865315842209384 246735.997423064021859)",884147803534,884147803110,884147802914,1,5.833333333000000,2
"LINESTRING (1687543.382398322923109 247632.864405873668147,1687597.386671161046252 247621.210239882493624,1687651.326492600375786 247605.643227161112009,1687866.844876146642491 247528.702955431683222,1687935.386278139427304 247516.810287908476312,1687967.763357460265979 247516.277068613446318,1687984.943032812327147 247515.994158378598513,1688039.431154104182497 247533.688764086604351,1688096.723252622876316 247561.122523778612958,1688196.624849654501304 247647.544667965121334)",884147800708,884147800714,884147800499,1,11.111111110000000,10
"LINESTRING (1683202.90170542197302 245056.086740568338428,1683240.464904193067923 245088.728469371795654,1683252.965112701291218 245124.724737235810608,1683250.596003769198433 245259.799991951149423,1683243.68659959291108 245281.442908483120846,1683228.732725168811157 245296.37066529225558,1683211.616464420920238 245300.570871111180168,1683120.045119336806238 245279.595966439635959,1683041.22580598318018 245270.150436672382057,1682952.673937522340566 245271.63177912789979,1682886.109717606101185 245283.509287939028582,1682871.276647744700313 245266.144164027646184,1682868.453203877899796 245255.427699870546348,1682872.211291160434484 245203.50327142488095)",884147801479,884147801401,884147801402,1,5.833333333000000,14
"LINESTRING (1688405.137508872896433 246863.259215321450029,1688369.096248776186258 247042.920245242421515,1688363.018535212846473 247115.430342801584629)",884147802764,884147802483,884147802484,1,5.833333333000000,3
"LINESTRING (1684200.348678196547553 246520.915255644649733,1684211.865315842209384 246735.997423064021859)",884147803278,884147801379,884147802914,1,5.833333333000000,2
"LINESTRING (1687543.382398322923109 247632.864405873668147,1687489.378189433598891 247644.518725646601524,1687445.107788070337847 247645.248952116933651)",884147800709,884147800714,884147800715,1,11.111111110000000,3
"LINESTRING (1688363.018535212846473 247115.430342801584629,1688197.890278394334018 247122.060989980876911)",884147802765,884147802484,884147800496,1,5.833333333000000,2
"LINESTRING (1684211.865315842209384 246735.997423064021859,1684225.085195540450513 247092.936422970466083)",884147803279,884147802914,884147802913,1,5.833333333000000,2
"LINESTRING (1687346.655707383761182 247646.873259188025258,1687378.436384713510051 247650.262936201965204,1687445.107788070337847 247645.248952116933651)",884147800710,884147800713,884147800715,1,11.111111110000000,3
"LINESTRING (1682894.703656584490091 245046.563750901463209,1683116.151404213625938 245046.773473617737181,1683202.90170542197302 245056.086740568338428)",884147801481,884147801403,884147801401,1,5.833333333000000,3
"LINESTRING (1688405.137508872896433 246863.259215321450029,1688612.799140988383442 246870.609111030324129)",884147802766,884147802483,884147802485,1,5.833333333000000,2
"LINESTRING (1683576.868582574184984 247103.75020157135441,1683202.797272854484618 247263.628244516527047,1682985.06003219075501 247365.121884535910795,1682930.943037505028769 247369.941466076765209)",884147803280,884147800572,884147802915,1,5.833333333000000,4
"LINESTRING (1686755.030353356152773 247481.490439182525733,1686851.018128374358639 247490.667483566037845,1686905.555932415882125 247511.293577186996117)",884147800711,884147800711,884147800716,1,11.111111110000000,3
"LINESTRING (1688860.184068188536912 246640.508337595529156,1688865.638704335549846 246811.658886698569404,1688858.127046752721071 246837.223620559932897,1688843.895147984847426 246856.049107777071185,1688826.827349722385406 246863.178998124029022,1688612.799140988383442 246870.609111030324129)",884147802767,884147802486,884147802485,1,5.833333333000000,6
"LINESTRING (1683576.868582574184984 247103.75020157135441,1684225.085195540450513 247092.936422970466083)",884147803281,884147800572,884147802913,1,5.833333333000000,2
"LINESTRING (1686905.555932415882125 247511.293577186996117,1687031.95626783836633 247561.066707845486235)",884147800712,884147800716,884147800712,1,11.111111110000000,2
"LINESTRING (1689001.072900545783341 247250.745716728473781,1688840.571049532387406 247257.294847450975794,1688803.809206634759903 247272.576309561030939,1688745.83686098898761 247324.411315189441666,1688720.90466051036492 247335.584558971633669,1688625.222654295386747 247344.984815732605057)",884147802768,884147802487,884147802488,1,5.833333333000000,6
"LINESTRING (1686250.828845093026757 248285.367124061624054,1686301.229372713016346 248375.534687825595029,1686401.614453803282231 248610.674042802100303,1686447.096987116616219 248683.310067723301472)",884147800713,884147800717,884147800718,1,5.833333333000000,4
"LINESTRING (1688363.018535212846473 247115.430342801584629,1688365.483597528655082 247144.745261841686442,1688387.173203384736553 247257.896331940282835,1688402.966140318196267 247293.841679350531194,1688425.254030731739476 247322.830628066993086,1688452.586643237853423 247337.058923421689542,1688625.222654295386747 247344.984815732605057)",884147802769,884147802484,884147802488,1,5.833333333000000,7
"LINESTRING (1686498.924250561743975 248700.065738494304242,1686519.231359774712473 248729.085246934177121,1686531.674595903605223 248762.148950235859957,1686528.004677321063355 248819.942175816366216)",884147800714,884147800719,884147800537,1,5.833333333000000,4
"LINESTRING (1686738.76031085010618 244858.356511508260155,1686695.932166174985468 244826.773502684227424,1686660.904676540521905 244787.2334721875377)",884147801485,884147801405,884147801382,0,5.833333333000000,3
"LINESTRING (1688612.799140988383442 246870.609111030324129,1688625.222654295386747 247344.984815732605057)",884147802770,884147802485,884147802488,1,5.833333333000000,2
"LINESTRING (1686447.096987116616219 248683.310067723301472,1686471.964437269838527 248708.339988395367982,1686498.924250561743975 248700.065738494304242)",884147800715,884147800718,884147800719,1,5.833333333000000,3
"LINESTRING (1684996.655771118821576 248021.428147175989579,1685070.967538477154449 248038.784680599550484)",884147800458,884147800517,884147800518,1,11.111111110000000,2
"LINESTRING (1688421.530591169372201 246774.923267221165588,1688405.137508872896433 246863.259215321450029)",884147802771,884147802489,884147802483,1,5.833333333000000,2
"LINESTRING (1686575.475876797456294 248094.075732663244708,1686528.919692413182929 248116.373300034319982,1686386.867965801851824 248198.96241849521175,1686281.928288399009034 248247.668508969130926,1686250.828845093026757 248285.367124061624054)",884147800716,884147800720,884147800717,1,5.833333333000000,5
"LINESTRING (1684539.647335678339005 247923.351564225158654,1684388.329859655816108 247885.752239875000669)",884147800459,884147800519,884147800455,0,11.111111110000000,2
"LINESTRING (1688421.530591169372201 246774.923267221165588,1688449.720238818554208 246720.641407297021942,1688491.399219575570896 246682.772583476093132,1688515.671372760552913 246671.609900193638168,1688582.233891651267186 246659.752155936177587,1688597.012385698966682 246674.187003294442547,1688604.634769619442523 246695.58906946296338,1688612.799140988383442 246870.609111030324129)",884147802772,884147802489,884147802485,1,5.833333333000000,8
"LINESTRING (1686575.475876797456294 248094.075732663244708,1686610.432948788395151 248129.702627331105759,1686631.03173988382332 248176.330739842291223)",884147800717,884147800720,884147800721,1,5.833333333000000,3
"LINESTRING (1685070.967538477154449 248038.784680599550484,1685427.164919217349961 248116.041541702958057,1685637.413625333923846 248160.499381517263828,1685691.837294029537588 248174.274246932152892,1685746.374473566422239 248194.897007929626852,1685796.416205092100427 248223.422613382921554,1685843.267687404761091 248258.850868178589735)",884147800460,884147800518,884147800520,1,11.111111110000000,7
"LINESTRING (1686631.03173988382332 248176.330739842291223,1686656.562990005128086 248241.469121053465642,1686677.954354434041306 248336.031501219200436,1686698.158704045927152 248518.680051344330423,1686701.16012123436667 248580.276984433148755,1686662.7763407737948 248617.116858563036658,1686498.924250561743975 248700.065738494304242)",884147800718,884147800721,884147800719,1,5.833333333000000,7
"LINESTRING (1684818.975515826838091 247988.177792519534705,1684996.655771118821576 248021.428147175989579)",884147800461,884147800521,884147800517,1,11.111111110000000,2
"LINESTRING (1683572.386509323725477 246954.111611873697257,1683409.966328357113525 246964.65280903634266,1683288.668225173605606 246944.173916369269136,1683190.343375473981723 246953.645780477905646,1683074.537671374389902 246984.937960902258055,1682920.096373802283779 246998.285469399095746)",884147803288,884147800573,884147802917,1,5.833333333000000,6
"LINESTRING (1684539.647335678339005 247923.351564225158654,1684606.079884894425049 247943.773029055184452,1684665.790896493708715 247957.456958848779323,1684759.974293197505176 247977.417129310575547)",884147800462,884147800519,884147800522,1,11.111111110000000,4
"LINESTRING (1686789.20893265074119 248509.346531740156934,1686767.705065065063536 248407.936277688626433,1686751.117254834622145 248324.058070810424397,1686724.80993355344981 248211.963592137239175,1686701.857109276112169 248142.868419294129126)",884147800719,884147800722,884147800723,0,16.666666670000001,5
"LINESTRING (1684759.974293197505176 247977.417129310575547,1684818.975515826838091 247988.177792519534705)",884147800463,884147800522,884147800521,1,11.111111110000000,2
"LINESTRING (1686701.857109276112169 248142.868419294129126,1686631.03173988382332 248176.330739842291223)",884147800720,884147800723,884147800721,1,5.833333333000000,2
"LINESTRING (1685014.428529479773715 247579.820994689769577,1685058.300282458076254 247714.127217061672127,1685064.610798142850399 247775.66896603940404,1685060.349350616103038 247837.386439110268839,1685044.145765906898305 247896.366866614000173,1684996.655771118821576 248021.428147175989579)",884147800464,884147800465,884147800517,1,11.111111110000000,6
"LINESTRING (1686458.909673966933042 247640.015418772061821,1686446.643740213476121 247617.712507360934978,1686422.979921084130183 247545.693865502835251,1686414.80483319493942 247491.032211011974141,1686421.101645041955635 247432.216980656055966)",884147800721,884147800724,884147800707,0,16.666666670000001,5
"LINESTRING (1684238.52284934441559 248493.951358434482245,1684211.547365212580189 248501.250575013196794,1684004.806522683706135 248508.61155446988414,1683598.527791394619271 248519.305918765312526)",884147800465,884147800523,884147800524,1,11.111111110000000,4
"LINESTRING (1686701.857109276112169 248142.868419294129126,1686683.771973081398755 248088.37053042295156,1686642.493471713503823 247990.222967945883283,1686593.83309438964352 247885.347973601223202,1686530.457697756588459 247769.952853696799139,1686474.64123298227787 247672.046161142498022,1686458.909673966933042 247640.015418772061821)",884147800722,884147800723,884147800724,0,16.666666670000001,7
"LINESTRING (1683060.739160556346178 248491.110585963004269,1683085.562293149065226 248513.201320263295202,1683105.629410175839439 248527.543474127509398,1683238.548946856986731 248532.170434038736857,1683598.527791394619271 248519.305918765312526)",884147800466,884147800458,884147800524,1,11.111111110000000,5
"LINESTRING (1686827.378782202955335 244860.805846032948466,1686884.098645067773759 244853.018954760860652,1687950.403932053595781 244816.8384063745616,1688088.634452163707465 244821.412288820720278,1688162.955611539073288 244838.780926770006772,1688271.930495640728623 244873.19304262867081)",884147800723,884147800725,884147800492,1,11.111111110000000,6
"LINESTRING (1684529.26104899821803 248331.566737473884132,1684306.814167679520324 248467.371870306873461,1684238.52284934441559 248493.951358434482245)",884147800467,884147800525,884147800523,1,11.111111110000000,3
"LINESTRING (1684799.472606751834974 248166.592566820647335,1684529.26104899821803 248331.566737473884132)",884147800468,884147800526,884147800525,1,11.111111110000000,2
"LINESTRING (1684996.655771118821576 248021.428147175989579,1684960.256287105381489 248058.23850913575734,1684799.472606751834974 248166.592566820647335)",884147800469,884147800517,884147800526,1,11.111111110000000,3
"LINESTRING (1685070.967538477154449 248038.784680599550484,1685076.838146354304627 248391.932154659560183)",884147800470,884147800518,884147800527,1,11.111111110000000,2
"LINESTRING (1685076.838146354304627 248391.932154659560183,1685082.546133606228977 248735.297164306713967)",884147800471,884147800527,884147800528,1,11.111111110000000,2
"LINESTRING (1686085.304668772034347 248586.556621379160788,1686146.406357081839815 248684.374617417226546)",884147800472,884147800529,884147800530,1,11.111111110000000,2
"LINESTRING (1686146.406357081839815 248684.374617417226546,1686181.979005474597216 248757.174181984126335,1686197.2277119634673 248799.976379991770955,1686213.088451495394111 248839.83290110170492)",884147800473,884147800530,884147800531,1,11.111111110000000,4
"LINESTRING (1685076.838146354304627 248391.932154659560183,1684811.535457091638818 248414.935560727695702)",884147803300,884147800527,884147802325,1,5.833333333000000,2
"LINESTRING (1686213.088451495394111 248839.83290110170492,1686267.0540803282056 248985.716801631788258,1686305.381944733904675 249065.320581756124739,1686363.886822687229142 249166.117791135620791,1686424.373181964270771 249266.882377155823633,1686467.693956185132265 249328.790522674506065)",884147800476,884147800531,884147800534,1,11.111111110000000,6
"LINESTRING (1685843.267687404761091 248258.850868178589735,1685900.998841974651441 248312.690704115491826,1685941.43724267068319 248359.967721543333028,1685973.930520238121971 248406.397986347030383,1685991.595840626396239 248435.460731355444295)",884147800478,884147800520,884147800535,1,11.111111110000000,5
"LINESTRING (1685991.595840626396239 248435.460731355444295,1686085.304668772034347 248586.556621379160788)",884147800479,884147800535,884147800529,1,11.111111110000000,2
"LINESTRING (1686146.406357081839815 248684.374617417226546,1686226.00376707711257 248741.767274206737056,1686283.424590966897085 248777.02154992762371)",884147800480,884147800530,884147800536,1,16.666666670000001,3
